recipe_name,cuisine_SP,aisle_SP,ingredients_SP
Carolina Caviar - Black Bean Salsa,['Mexican'],"['Canned and Jarred', 'Produce', 'Produce', 'Produce', 'Produce', 'Produce', 'Produce', 'Produce', 'Canned and Jarred', 'Produce;Spices and Seasonings', 'Produce', 'Produce', 'Condiments', 'Spices and Seasonings']","['canned black beans', 'avocado', 'yellow pepper', 'orange pepper', 'green pepper', 'spring onions', 'onion', 'corn', 'diced tomatoes with green chilies', 'cilantro', 'garlic', 'lime juice', 'hot sauce', 'salt and pepper']"
Restaurant Style Salsa,['Mexican'],"['Canned and Jarred', 'Produce;Spices and Seasonings', 'Produce', 'Spices and Seasonings', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Produce', 'Canned and Jarred', 'Spices and Seasonings', None, 'Baking']","['canned tomatoes', 'cilantro', 'garlic', 'cumin', 'jalapeno pepper', 'lime juice', 'onion', 'diced tomatoes with green chilies', 'salt', 'seasoning', 'sugar']"
Seared Pork Chops W/ Mango Salsa,['Mexican'],"['Produce', 'Produce', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Produce', 'Spices and Seasonings', 'Produce', 'Spices and Seasonings', 'Meat', 'Spices and Seasonings', 'Produce', 'Produce', 'Oil, Vinegar, Salad Dressing']","['bell pepper', 'bell pepper', 'ground cayenne pepper', 'cilantro', 'cumin', 'garlic powder', 'lime', 'mango', 'mustard powder', 'onion', 'onion powder', 'pork chops', 'salt', 'spring onions', 'tomato', 'vegetable oil']"
Crispy-Crowned Guacamole Fish Fillets,['Mexican'],"['Produce', 'Produce', 'Produce', 'Produce;Spices and Seasonings', 'Seafood', 'Produce', 'Produce', 'Produce', 'Spices and Seasonings', 'Condiments', 'Savory Snacks']","['avocado', 'bell pepper', 'cherry tomato', 'cilantro', 'fish', 'garlic', 'onion', 'bell pepper', 'salt', 'hot sauce', 'corn tortilla chips']"
Flank Steak with Herbed Salsa,['Mexican'],"['Produce;Spices and Seasonings', 'Oil, Vinegar, Salad Dressing', 'Meat', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Produce', 'Spices and Seasonings', 'Produce', 'Produce']","['cilantro', 'extra virgin olive oil', 'flank steak', 'garlic', 'jalapeno pepper', 'lemon juice', 'lime juice', 'salt and pepper', 'spring onions', 'tomato']"
Mexican Casserole,['Mexican'],"['Meat', 'Cheese', 'Canned and Jarred', 'Canned and Jarred', 'Produce', 'Pasta and Rice', 'Pasta and Rice;Ethnic Foods', 'Cheese']","['chicken breast', 'colby jack', 'condensed cream of chicken soup', 'condensed cream of mushroom soup', 'onion', 'rice', 'salsa', 'shredded cheddar cheese']"
Beef Fajita Marinade,['Mexican'],"['Produce;Spices and Seasonings', 'Produce', 'Cheese', 'Spices and Seasonings', 'Produce', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Meat']","['cilantro', 'garlic', 'grilling cheese', 'ground chipotle chile pepper', 'lime juice', 'lime peel', 'olive oil', 'skirt steak']"
Black Bean and Peppers Taco Filling,['Mexican'],"['Produce', 'Canned and Jarred', 'Canned and Jarred', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Produce;Spices and Seasonings', 'Spices and Seasonings']","['bell pepper', 'canned black beans', 'canned tomatoes', 'chili powder', 'garlic powder', 'cumin', 'light olive oil', 'onion', 'oregano', 'paprika']"
Grilled Salmon With Mango Salsa,['Mexican'],"['Produce;Spices and Seasonings', 'Dried Fruits;Produce', 'Produce', 'Produce', 'Produce', 'Seafood', 'Spices and Seasonings']","['cilantro', 'dried mango', 'lime juice', 'onion', 'pineapple', 'salmon', 'salt']"
Mexican Chicken & Rice Bowl,['Mexican'],"['Meat', 'Produce;Spices and Seasonings', 'Pasta and Rice', 'Canned and Jarred', 'Produce', 'Produce', 'Produce', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Oil, Vinegar, Salad Dressing', 'Spices and Seasonings']","['chicken breast', 'parsley', 'cooked brown rice', 'canned black beans', 'whole kernel corn', 'tomato', 'avocado', 'lime', 'salsa', 'olive oil', 'salt and pepper']"
Grilled Fish Tacos W/ Spicy Tequila-Lime Guacamole,['Mexican'],"['Produce', 'Seafood', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Produce;Spices and Seasonings', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Produce', 'Produce', 'Milk, Eggs, Other Dairy', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Spices and Seasonings', 'Alcoholic Beverages', 'Produce']","['avocado', 'fish', 'flour tortilla', 'cilantro', 'jalapeno pepper', 'lettuce', 'lime juice', 'lime peel', 'fat free greek yogurt', 'olive oil', 'onion', 'salt and pepper', 'tequila', 'tomato']"
Healthy & Spicy Fish Taco Salad,['Mexican'],"['Ethnic Foods;Spices and Seasonings', 'Produce', 'Produce', 'Produce;Spices and Seasonings', 'Seafood', 'Frozen', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Produce', 'Spices and Seasonings', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Spices and Seasonings', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Oil, Vinegar, Salad Dressing', 'Oil, Vinegar, Salad Dressing']","['ancho chili powder', 'avocado', 'cherry tomato', 'cilantro', 'fish', 'frozen corn', 'jalapeno pepper', 'lime juice', 'red onion', 'red pepper flakes', 'romaine', 'salsa', 'salt and pepper', 'tortilla', 'vegetable oil', 'vegetable oil']"
Kk's Fish Tacos,['Mexican'],"['Seafood', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Produce;Spices and Seasonings', 'Produce', 'Produce', 'Produce', 'Produce', 'Pasta and Rice', 'Spices and Seasonings', '?']","['tilapia', 'flour tortilla', 'cilantro', 'lime', 'lettuce', 'tomato', 'onion', 'breadcrumbs', 'creole seasoning', None]"
Blast Of Color Mexican Stuffed Bell Peppers,['Mexican'],"['Produce', 'Pasta and Rice;Canned and Jarred', 'Meat', 'Produce', 'Spices and Seasonings', 'Pasta and Rice', 'Produce', 'Produce', 'Cheese', 'Produce', 'Produce', 'Milk, Eggs, Other Dairy']","['bell pepper', 'black beans', 'chicken breast', 'chili pepper', 'chili seasoning mix', 'cooked brown rice', 'corn kernels', 'garlic', 'low fat shredded cheddar', 'red onion', 'italian tomato', 'sour cream']"
Salsa Chicken & Black Beans,['Mexican'],"['Canned and Jarred', 'Canned and Jarred', 'Produce;Spices and Seasonings', 'Produce', 'Produce', 'Produce', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Meat']","['stock', 'canned black beans', 'cilantro', 'garlic', 'lime juice', 'bell pepper', 'onion', 'salsa', 'shredded chicken']"
Chicken Taquitos with an Avocado Salsa,['Mexican'],"['Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Meat', 'Oil, Vinegar, Salad Dressing', 'Milk, Eggs, Other Dairy', 'Cheese', 'Produce', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Produce', 'Produce', 'Spices and Seasonings']","['white corn tortilla', 'chicken breast', 'cooking oil', 'mexican crema', 'queso fresco', 'avocado', 'tomatillos', 'cilantro', 'white onion', 'garlic', 'lime juice', 'salt']"
Cheesy Beef Burrito,['Mexican'],"['Oil, Vinegar, Salad Dressing', 'Meat', 'Produce', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Beverages', 'Canned and Jarred', 'Pasta and Rice;Ethnic Foods', 'Spices and Seasonings', 'Spices and Seasonings', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Cheese', 'Produce', 'Pasta and Rice', 'Pasta and Rice;Canned and Jarred', 'Produce', 'Produce', 'Produce', 'Milk, Eggs, Other Dairy']","['peanut oil', 'beef cubes', 'red onion', 'garlic', 'green enchilada sauce', 'tomato juice', 'canned green chiles', 'salsa verde', 'salt', 'chili powder', 'flour tortilla', 'sharp cheddar cheese', 'onion', 'cooked rice', 'black beans', 'tomato', 'romaine', 'spring onions', 'sour cream']"
Turkey Kale Tacos,['Mexican'],"['Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Meat', 'Produce', 'Spices and Seasonings', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Spices and Seasonings', 'Produce', 'Beverages']","['ground cayenne pepper', 'cumin', 'garlic', 'ground turkey', 'kale', 'kosher salt', 'olive oil', 'onion', 'paprika', 'red pepper', 'water']"
Mexican Lettuce Wraps & Spanish Rice,['Mexican'],"['Meat', 'Produce', 'Produce', 'Beverages', 'Ethnic Foods;Spices and Seasonings', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Pasta and Rice', 'Beverages', 'Pasta and Rice', 'Canned and Jarred;Frozen', 'Canned and Jarred', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Cheese', 'Produce', 'Pasta and Rice;Ethnic Foods']","['ground turkey', 'garlic', 'onion', 'water', 'taco seasoning mix', 'olive oil', 'lettuce', 'brown rice', 'water', 'tomato paste', 'peas and carrots', 'olives', 'oregano', 'black pepper', 'shredded cheddar cheese', 'avocado', 'salsa']"
Black Bean Soup With Pico De Gallo and Chipotle Creme,['Mexican'],"['Canned and Jarred;Ethnic Foods', 'Produce', 'Produce', 'Produce;Spices and Seasonings', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Spices and Seasonings', 'Ethnic Foods', 'Pasta and Rice;Canned and Jarred', 'Beverages', 'Produce', 'Produce', 'Meat', 'Meat', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Canned and Jarred', 'Canned and Jarred;Ethnic Foods', 'Frozen', 'Milk, Eggs, Other Dairy', 'Canned and Jarred;Ethnic Foods']","['pico de gallo', 'white onion', 'tomato', 'cilantro', 'jalapeno pepper', 'lime juice', 'salt', 'black bean sauce', 'dried black beans', 'water', 'white onion', 'carrot', 'pork', 'smoked ham hock', 'garlic', 'white pepper', 'cumin', 'oregano', 'salt', 'chicken stock', 'chipotle chiles', 'light vanilla ice cream', 'greek yogurt', 'canned chipotle chile']"
Mango Blackberry Side Salad,['Mexican'],"['Produce', 'Produce', 'Produce', 'Produce', 'Produce;Spices and Seasonings']","['blackberries', 'mango', 'lime peel', 'lime juice', 'mint']"
Protein Strawberry Smoothie,['Mexican'],"['Milk, Eggs, Other Dairy', 'Produce', 'Milk, Eggs, Other Dairy', 'Nut butters, Jams, and Honey', 'Frozen', 'Produce']","['almond milk', 'ripe banana', 'fat free greek yogurt', 'honey', 'ice', 'strawberries']"
Mango Kiwi Salsa,['Mexican'],"['Produce;Spices and Seasonings', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Produce', 'Produce', 'Produce', 'Produce', 'Spices and Seasonings', 'Produce']","['cilantro', 'garlic', 'jalapeno pepper', 'lime juice', 'kiwi', 'mango', 'bell pepper', 'red onion', 'salt', 'tomato']"
Tangy & Savory Mexican Soup,['Mexican'],"['Produce', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Meat', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Spices and Seasonings', 'Produce', 'Spices and Seasonings', 'Milk, Eggs, Other Dairy', 'Pasta and Rice', 'Savory Snacks', 'Beverages', 'Produce', 'Produce', '?']","['avocado', 'carrot', 'cilantro', 'garlic', 'ground chuck', 'lime juice', 'oregano', 'red pepper', 'red pepper flakes', 'red onion', 'coarse sea salt', 'sour cream', 'tomato paste', 'corn tortilla chips', 'water', 'yellow onion', 'zucchini', None]"
Instant Pot Chicken Tacos,['Mexican'],"['Spices and Seasonings', 'Meat', 'Produce', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Ethnic Foods;Spices and Seasonings']","['black pepper', 'chicken breast', 'lime juice', 'red onion', 'salsa', 'taco seasoning mix']"
"Mushroom, Jalapeño, and Cilantro Salsa",['Mexican'],"['Produce', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce;Spices and Seasonings', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Spices and Seasonings']","['fresh mushrooms', 'red onion', 'jalapeno pepper', 'cilantro', 'lime juice', 'olive oil', 'salt']"
Grilled Guacamole with Pistachios,['Mexican'],"['Produce', 'Spices and Seasonings', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Nuts;Savory Snacks', 'Spices and Seasonings', 'Produce']","['avocado', 'cumin', 'sweet corn on the cob', 'cilantro', 'garlic', 'black pepper', 'black pepper', 'jalapeno pepper', 'lime', 'olive oil', 'onion', 'pistachio nuts', 'salt', 'tomato']"
Roasted Vegetable Tacos,['Mexican'],"['Oil, Vinegar, Salad Dressing', 'Produce', 'Canned and Jarred', 'Canned and Jarred', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Cheese', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Spices and Seasonings', 'Produce', 'Produce', 'Produce', 'Spices and Seasonings', 'Produce']","['apple cider vinegar', 'avocado', 'canned black beans', 'chicken stock', 'chili powder', 'cumin', 'sweet corn on the cob', 'goat cheese', 'spring onions', 'olive oil', 'paprika', 'pasilla pepper', 'red pepper', 'red onion', 'salt', 'sweet potato']"
Pork Tenderloin With Mango-Kiwi Glaze Served With Tomatillo Salsa,['Mexican'],"['Ethnic Foods;Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Produce;Ethnic Foods;Spices and Seasonings', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Produce', 'Produce', 'Spices and Seasonings', 'Meat', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce']","['ancho chili powder', 'black pepper', 'bell pepper', 'ground cayenne pepper', 'ground cayenne pepper', 'cilantro', 'ginger', 'garlic', 'garlic powder', 'cumin', 'jalapeno pepper', 'lime juice', 'lime juice', 'kiwi', 'kosher salt', 'lean pork tenderloin', 'mango', 'olive oil', 'red onion', 'red onion', 'salt', 'salt and pepper', 'tomatillos']"
Cilantro Lime Fish Tacos,['Mexican'],"['Canned and Jarred', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Produce;Spices and Seasonings', 'Produce', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Milk, Eggs, Other Dairy', 'Seafood']","['stock', 'white corn tortilla', 'cilantro', 'lettuce', 'lime juice', 'olive oil', 'red onion', 'salsa', 'sour cream', 'tilapia']"
Mexican Quinoa Bowl,['Mexican'],"['Pasta and Rice;Health Foods', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Produce', 'Canned and Jarred', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Pasta and Rice', 'Pasta and Rice;Canned and Jarred', 'Produce', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce;Spices and Seasonings', 'Produce']","['quinoa', 'olive oil', 'whole garlic cloves', 'white onion', 'low sodium chicken broth', 'ground cumin', 'kosher salt', 'black pepper', 'canned tomato sauce', 'black beans', 'avocado', 'tomato', 'jalapeno pepper', 'cilantro', 'lime juice']"
Loaded Paleo Nachos With Fresh Salsa & Guacamole,['Mexican'],"['Produce', 'Spices and Seasonings', 'Health Foods;Baking', 'Produce', 'Produce', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Meat', 'Pasta and Rice', 'Canned and Jarred', 'Produce', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Produce', 'Produce', 'Produce', 'Spices and Seasonings']","['sweet potato', 'red pepper flakes', 'coconut oil', 'onion', 'garlic', 'chili pepper', 'smoked paprika', 'cumin seeds', 'ground chuck', 'tomato paste', 'passata', 'tomato', 'red onion', 'cilantro', 'chives', 'avocado', 'garlic', 'lime', 'salt and pepper']"
Guacamole,['Mexican'],"['Produce', 'Produce', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Produce', 'Produce;Spices and Seasonings']","['avocado', 'onion', 'jalapeno pepper', 'cilantro', 'salt', 'black pepper', 'lime juice', 'fresh basil', 'oregano']"
Turkey Enchilada Bake,['Mexican'],"['Produce', 'Canned and Jarred', 'Spices and Seasonings', 'Canned and Jarred;Ethnic Foods', 'Produce;Spices and Seasonings', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Canned and Jarred', 'Produce', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Meat', 'Produce', 'Spices and Seasonings', 'Pasta and Rice;Ethnic Foods', 'Cheese', 'Milk, Eggs, Other Dairy', 'Produce', 'Produce']","['avocado', 'canned black beans', 'chili powder', 'canned chipotle chile', 'cilantro', 'white corn tortilla', 'fire roasted tomatoes', 'garlic', 'green chili pepper', 'ground coriander', 'cumin', 'lime juice', 'ground turkey', 'onion', 'paprika', 'salsa', 'shredded mexican cheese blend', 'sour cream', 'tomatillos', 'yellow onion']"
Spicy Vegan Quesadillas,['Mexican'],"['Oil, Vinegar, Salad Dressing', 'Produce', 'Produce', 'Produce', 'Produce', 'Produce', 'Canned and Jarred', 'Canned and Jarred;Produce;Ethnic Foods', None, 'Bakery/Bread', 'Cheese;Health Foods']","['cooking oil', 'plum tomato', 'red pepper', 'yellow pepper', 'red onion', 'garlic', 'canned kidney beans', 'jalapeno pepper', 'seasoning', 'wrap', 'soy cheese']"
Salsa Verde By Mommie Cooks,['Mexican'],"['Produce', 'Canned and Jarred', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Produce', 'Produce', 'Produce', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings']","['tomatillos', 'vegetable stock', 'cumin', 'dried cilantro', 'lime juice', 'garlic', 'green chili pepper', 'onion', 'cilantro', 'black pepper', 'salt']"
Ceviche Tostadas,['Mexican'],"['Seafood', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Produce', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Spices and Seasonings', 'Savory Snacks']","['fish', 'tomato', 'cilantro', 'onion', 'lemon juice', 'serrano pepper', 'olive oil', 'salt', 'corn tortilla chips']"
Spicy Seasoned Loaded Guacamole,['Mexican'],"['Produce', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings']","['avocado', 'lime juice', 'white wine vinegar', 'red onion', 'serrano pepper', 'cilantro', 'italian tomato', 'salt', 'black pepper', 'cumin', 'garlic powder']"
Smoky Chicken Tacos,['Mexican'],"['Produce', 'Produce', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Produce', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Spices and Seasonings', 'Oil, Vinegar, Salad Dressing', 'Spices and Seasonings', 'Spices and Seasonings', 'Canned and Jarred;Produce;Ethnic Foods', 'Produce', 'Produce', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Produce', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Spices and Seasonings', 'Spices and Seasonings', 'Meat', 'Milk, Eggs, Other Dairy']","['avocado', 'cabbage', 'chili powder', 'cilantro', 'corn', 'white corn tortilla', 'cumin', 'extra virgin olive oil', 'garlic powder', 'garlic powder', 'jalapeno pepper', 'lime juice', 'lime juice', 'lime', 'onion powder', 'black pepper', 'red onion', 'red pepper', 'italian tomato', 'salsa', 'salt', 'salt and pepper', 'boneless skinless chicken breast', 'sour cream']"
Salmon With Orange Salsa and Pomegranate Glaze,['Mexican'],"['Ethnic Foods;Health Foods', 'Produce', 'Produce', 'Ethnic Foods;Baking', 'Spices and Seasonings', 'Produce', 'Produce;Spices and Seasonings', 'Produce', 'Beverages', 'Produce', 'Beverages', 'Spices and Seasonings', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce', 'Oil, Vinegar, Salad Dressing', 'Produce', 'Alcoholic Beverages', 'Cheese', 'Produce', 'Seafood', 'Produce', 'Produce']","['agave', 'avocado', 'bell pepper', 'cornmeal', 'cumin seeds', 'fennel', 'cilantro', 'garlic', 'juice', 'lime juice', 'orange juice', 'kosher salt', 'kosher salt', 'kosher salt', 'navel orange', 'olive oil', 'persian cucumber', 'port', 'queso fresco', 'red onion', 'salmon', 'serrano pepper', 'tomato']"
Skirt Steak Fajitas,['Mexican'],"['Produce', 'Baking', 'Oil, Vinegar, Salad Dressing', 'Spices and Seasonings', 'Produce;Spices and Seasonings', 'Spices and Seasonings', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Produce', 'Produce', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Meat', 'Milk, Eggs, Other Dairy', 'Ethnic Foods;Condiments', 'Produce']","['bell pepper', 'golden brown sugar', 'cooking oil', 'chili powder', 'cilantro', 'cumin', 'flour tortilla', 'garlic', 'lime juice', 'lime wedge', 'salsa', 'skirt steak', 'sour cream', 'soy sauce', 'white onion']"
Chicken Burritos,['Mexican'],"['Produce', 'Meat', 'Produce;Spices and Seasonings', 'Bakery/Bread;Pasta and Rice;Ethnic Foods', 'Produce', 'Produce', 'Spices and Seasonings', 'Spices and Seasonings', 'Produce']","['avocado', 'chicken meat', 'cilantro', 'flour tortilla', 'lemon juice', 'onion', 'black pepper', 'salt', 'tomato']"
Crockpot Garlic Lime Salsa Meatball Tacos,['Mexican'],"['Milk, Eggs, Other Dairy', 'Produce', 'Meat', 'Produce', 'Pasta and Rice;Ethnic Foods', 'Spices and Seasonings', 'Savory Snacks', 'Bakery/Bread;Pasta and Rice;Ethnic Foods']","['egg', 'garlic', 'ground chuck', 'lime peel', 'picante sauce', 'salt', 'scoops tortilla chips', 'tortilla']"
